entry_time,exit_time,entry,exit,quantity,pnl_usdt,pnl_pct,result,adx,rsi,atr
2026-03-01 15:15:00+00:00,2026-03-01 16:45:00+00:00,67115.19,66672.73,0.226,-115.0636,-0.759,LOSS,23.72,36.67,350.7
2026-03-02 03:15:00+00:00,2026-03-02 07:00:00+00:00,66493.01,65910.98,0.17,-110.15,-0.974,LOSS,24.55,34.86,337.32
2026-03-12 10:45:00+00:00,2026-03-12 12:00:00+00:00,70378.63,70378.63,0.252,-17.7354,-0.1,LOSS,39.69,58.96,258.62
2026-03-24 23:30:00+00:00,2026-03-25 10:45:00+00:00,70748.6,71594.48,0.23,178.0855,1.094,WIN,28.21,62.98,200.7
2026-04-23 16:00:00+00:00,2026-04-23 17:00:00+00:00,78376.77,77985.32,0.252,-118.2987,-0.599,LOSS,25.17,45.69,273.48
2026-05-03 09:30:00+00:00,2026-05-03 11:45:00+00:00,78500.0,78777.69,0.701,139.4369,0.253,WIN,32.94,63.74,104.84
2026-05-04 15:30:00+00:00,2026-05-04 16:15:00+00:00,79700.37,79700.37,0.17,-13.5491,-0.1,LOSS,23.06,62.83,430.78
2026-05-07 08:15:00+00:00,2026-05-07 08:30:00+00:00,81508.85,81257.56,0.39,-129.6928,-0.408,LOSS,22.4,49.41,174.49
2026-05-21 18:30:00+00:00,2026-05-21 18:45:00+00:00,77741.6,77371.78,0.26,-116.27,-0.575,LOSS,23.78,47.85,256.03
2026-05-26 11:15:00+00:00,2026-05-26 12:00:00+00:00,77267.74,77003.62,0.36,-122.8062,-0.441,LOSS,26.37,52.54,179.32
